,Cz,Cx,i,j,gamma,V_max,V_sr,V_min,w_max,w_sr,w_min
0,0.10005712336916461,0.030533704862094137,3.091780169183984,0.9024129629199853,0.29618648755496985,212.5871290237119,193.37053602159185,172.0204667358253,62.048842570710285,56.4400018125242,50.2084529220995
1,0.11005712336916461,0.03064571585172134,2.958577684641257,0.7936311437859426,0.2715734236309223,203.4282845334073,185.03959577811617,164.60934682833877,54.56913400340086,49.63641374212607,44.15605000991282
2,0.1200571233691646,0.030768388754223653,2.8405296173470984,0.7051844382169176,0.2508816279328973,195.31143975802775,177.65646476624698,158.0413883959762,48.48764367108944,44.104653419806546,39.23505215732442
3,0.13005712336916458,0.030901723569601077,2.7350813490812476,0.6322567102389496,0.2332755584731863,188.06094218559653,171.0613684006157,152.17445758880837,43.47321978947489,39.543503183288124,35.177499188393774
4,0.1400571233691646,0.031045720297853616,2.6402164354635254,0.571373811777917,0.21813759773993371,181.53814349761714,165.12819133365025,146.8963634733133,39.286984066936725,35.73567789632237,31.790096450682036
5,0.1500571233691646,0.03120037893898127,2.554326767241155,0.5199831038559933,0.2050024225369938,175.6324720135375,159.75635689716123,142.1176340660098,35.75342008185517,32.52152676215094,28.930820215351567
6,0.16005712336916458,0.03136569949298403,2.476116425096522,0.4761767212636795,0.19351339238255824,170.25482186162583,154.8648138522586,137.76616700719907,32.74134529043421,29.781725346942828,26.493520676837857
7,0.17005712336916456,0.03154168195986191,2.4045304338555105,0.4385061444032888,0.18339292408480998,165.33265420303067,150.38758043318117,133.78326558756947,30.151161207090674,27.425678266901265,24.39760510097643
8,0.18005712336916457,0.0317283263396149,2.3387016575258612,0.4058556854214914,0.17442195082707865,160.80634579774784,146.2704229808551,130.12068409431174,27.90615446132365,25.383606577073618,22.580998846376485
9,0.19005712336916458,0.031925632632243,2.2779108855155625,0.37735464638657595,0.16642540861863,156.62644458044517,142.46835959809513,126.73840708811608,25.9464568984065,23.601053842475896,20.995258021039565
10,0.20005712336916456,0.03213360083774622,2.221556550039624,0.3523153074064575,0.1592618021158771,152.75158746535124,138.94376617236043,123.60296454023378,24.224781716098885,22.035007702303595,19.602119265235544
11,0.21005712336916454,0.03235223095612454,2.169131525607037,0.330188461912652,0.15281558290700625,149.14690510655888,135.66492533609556,120.68614100232007,22.703366123631046,20.65111889408558,18.37102582360819
12,0.22005712336916455,0.03258152298737799,2.120205181060296,0.31053106687717597,0.14699150027571,145.7827878175985,132.60490393972395,117.9639770177993,21.351747009074217,19.421677987295165,17.277327667925423
13,0.23005712336916456,0.03282147693150654,2.0744093633700187,0.2929823864262107,0.14171035739089738,142.6339218338184,129.74067643009047,115.4159892882223,20.145120602575897,18.324123323125622,16.300954175443376
14,0.24005712336916454,0.033072092788510206,2.0314273522824067,0.27724617616348196,0.13690578363781733,139.67852984707426,127.05243403622997,113.02455613193587,19.06311749161413,17.339926760969828,15.425422900280909
15,0.2500571233691645,0.03333337055838898,1.9909850807043288,0.26307722207293177,0.1325217516392056,136.89776732984458,124.52303566213803,110.77442900386322,18.088877051947346,16.45375177522427,14.637090624879123
16,0.26005712336916453,0.033605310241142876,1.952844098745709,0.250271058334617,0.128510646912739,134.27523875114935,122.13756783384972,108.65234102889049,17.208340456858686,15.652810372229315,13.92458127983674
17,0.27005712336916454,0.03388791183677188,1.916795891358415,0.23865603331478086,0.12483175243761217,131.796606864155,119.88298930508637,106.64669084665623,16.409705144065008,14.926366870076087,13.278344511461375
18,0.28005712336916455,0.034181175345275996,1.8826572555456562,0.22808712931708966,0.12145004811194862,129.4492748485881,117.74784193207589,104.74728540872528,15.6829998691588,14.265351364651686,12.690311825085482
19,0.2900571233691645,0.03448510076665522,1.8502665135833425,0.21844110573962722,0.11833525161029841,127.22212593633746,115.72201383542864,102.94512928979672,15.019750754856798,13.662055966019537,12.153626360032574
20,0.3000571233691645,0.03479968810090957,1.8194803908512072,0.2096126505920558,0.11546104604759481,125.1053087348339,113.7965441289874,101.23225097647017,14.4127166738949,13.109894101103041,11.662428767726922
21,0.3100571233691645,0.03512493734803902,1.7901714258043602,0.20151130732827657,0.11280445347645097,123.09005913977293,111.96346093056495,99.60155876324168,13.855677941695202,12.60320830725976,11.211686226807446
22,0.3200571233691645,0.03546084850804359,1.762225808919159,0.1940590029112356,0.11034532317061335,121.16855174360205,110.2156462022068,98.04672051577286,13.343266349040604,12.137115628976092,10.797054909596046
23,0.3300571233691645,0.035807421580923274,1.7355415696794734,0.18718804586576965,0.10806591095603925,119.33377517485143,108.54672235809396,96.56206279843177,12.870827510568343,11.707382409225946,10.414768597760748
24,0.3400571233691645,0.03616465656667806,1.7100270476669877,0.18083949450872483,0.10595053128508755,117.57942697212063,106.95095664128647,95.14248580881427,12.434308666212745,11.310322232985678,10.061547893902155
25,0.3500571233691645,0.03653255346530797,1.685599596910803,0.17496181882530976,0.10398526782664598,115.89982449669756,105.42318008930374,93.78339129034651,12.030166673413989,10.942712236391701,9.734525771029258
26,0.3600571233691645,0.03691111227681299,1.6621844828063204,0.16950979685405482,0.10215773143086673,114.28982908601208,103.95871854364813,92.48062115905714,11.655292123859843,10.601724082870646,9.431186169625196
27,0.37005712336916446,0.03730033300119312,1.6397139388434505,0.1644435995468506,0.10045685668172162,112.74478119538911,102.5533336543519,91.23040502182091,11.306946419549803,10.284866727147394,9.149313081089582
28,0.3800571233691645,0.037700215638448366,1.6181263566171116,0.15972802802127734,0.09887273006099769,111.26044470413335,101.20317222045568,90.02931511016237,10.982709327171996,9.989938710389682,8.886948109983189
29,0.3900571233691645,0.03811076018857872,1.5973655875223323,0.15533187473539573,0.09739644414954991,109.83295890091462,99.90472251562511,88.87422742796755,10.680435053241197,9.71498820588846,8.642354931070608
30,0.40005712336916444,0.03853196665158419,1.5773803384577485,0.15122738598108812,0.0960199733851707,108.45879693305874,98.65477649337491,87.76228812963484,10.39821528577996,9.458279401547905,8.413989383524486
31,0.41005712336916444,0.038963835027464776,1.5581236469986497,0.1473898076424629,0.09473606775486529,107.13472972007,97.45039696259114,86.69088431975264,10.13434796120648,9.218264090058064,8.200474197831372
32,0.42005712336916445,0.03940636531622047,1.539552424024315,0.14379699971852153,0.09353816147739148,105.85779450523064,96.28888898187614,85.65761860579883,9.88731075937142,8.993557559820331,8.000577548603662
33,0.43005712336916446,0.03985955751785128,1.5216270538248158,0.1404291079000266,0.09242029427070064,104.62526735941985,95.1677748488563,84.66028684888283,9.655738521573786,8.782918054238348,7.813194781773195
34,0.44005712336916447,0.0403234116323572,1.5043110433703746,0.13726828269553734,0.09137704322943518,103.43463906529188,94.08477216428493,83.69685864979402,9.438403938001013,8.585229204896912,7.637332787325475
35,0.4500571233691644,0.040797927659738234,1.4875707137799175,0.13429843835355001,0.09040346368350136,102.28359390302045,93.03777453542725,82.76546018292889,9.234200971501933,8.399484953725798,7.472096586209584
36,0.46005712336916443,0.04128310559999438,1.4713749281354935,0.13150504522709458,0.0894950376880145,101.16999093514184,92.0248345526407,81.86435905242953,9.042130580823262,8.224776566769464,7.316677777919493
37,0.47005712336916444,0.04177894545312564,1.4556948507035605,0.12887495035064261,0.08864762902153493,100.09184745089667,91.04414873024821,80.99195089573743,8.861288383691095,8.060281412451493,7.1703445577519735
38,0.4800571233691644,0.04228544721913201,1.4405037333804056,0.1263962219055653,0.08785744375426234,99.04732428247094,90.0940441501025,80.14674750184365,8.690853962440674,7.9052532339108845,7.03243306317566
39,0.4900571233691644,0.042802610898013495,1.425776725807003,0.12405801398501913,0.08712099559915078,98.03471274871937,89.17296658551793,79.32736624645919,8.530081565410711,7.759013690934167,6.902339849619694
40,0.5000571233691644,0.04333043648977009,1.4114907061221809,0.12185044866723402,0.08643507538333146,97.05242301795427,88.279469915993,78.5325206754596,8.378291998442851,7.620944984414373,6.779515329267252
41,0.5100571233691644,0.0438689239944018,1.3976241297610417,0.11976451289520153,0.08579672407998247,96.09897371150481,87.41220667054516,77.76101209233136,8.234865534451627,7.490483406853056,6.6634580336475935
42,0.5200571233691644,0.04441807341190863,1.3841568940734625,0.11779196806224818,0.08520320892597129,95.17298259504594,86.56991956048726,77.011722025816,8.099235696635963,7.367113687531944,6.553709583158136
